Unnamed: 0,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
lift,-48.72143555,-51.16258621,44.05857468,55.93331909,2096288659
lift,-49.56275558,-51.89827728,53.94064331,53.85293961,2096305326
lift,-50.31994247,-52.63697815,48.78875732,55.10448456,2096321993
lift,-51.1819191,-53.4323349,56.60479355,58.72385025,2096338660
lift,-52.01927567,-54.33729935,52.56517792,64.3381958,2096355327
lift,-52.95246124,-55.33689499,57.95629883,68.22978973,2096371994
lift,-53.97741318,-56.45464325,62.76052475,74.53885651,2096388661
lift,-55.14496613,-57.58994293,68.58421326,75.98297119,2096405328
lift,-56.36180115,-58.82881546,68.00428009,81.27851868,2096421995
lift,-57.59297562,-60.03620148,66.84893799,77.31137085,2096438662
lift,-59.01748657,-61.19526672,76.0490036,72.89242554,2096455329
lift,-60.38594818,-62.40686417,75.24045563,75.40219116,2096471996
lift,-61.82600403,-63.72754288,79.31259155,82.56971741,2096488663
lift,-63.28244781,-65.1440506,81.58562469,86.50867462,2096505330
lift,-64.77767181,-66.34165192,81.39996338,72.28378296,2096521997
lift,-66.28762817,-67.3494873,80.2130127,62.86927795,2096538664
lift,-67.85447693,-68.49333191,93.36921692,71.81399536,2096555331
lift,-69.34403229,-69.90999603,96.40241241,86.12097168,2096571998
lift,-70.74582672,-71.57080841,91.03870392,99.18844604,2096588665
lift,-72.17136383,-73.2245636,90.95522308,97.35844421,2096605332
lift,-73.45301819,-74.9336319,77.67555237,96.17342377,2096621999
lift,-74.76957703,-76.6105423,88.63033295,87.52897644,2096638666
lift,-75.84794617,-78.50580597,72.86421967,98.6566391,2096655333
lift,-76.64518738,-80.35808563,58.60187531,97.63327789,2096672000
lift,-77.11062622,-81.99908447,37.34610367,93.10909271,2096688667
lift,-77.5590744,-83.18914032,32.76252747,76.82004547,2096705334
lift,-78.05674744,-84.05053711,23.26727104,71.66378021,2096722001
lift,-78.46900177,-84.49672699,17.92350578,41.52288055,2096738668
lift,-78.67005157,-85.05589294,11.36493587,41.63648605,2096755335
lift,-78.85457611,-85.50238037,12.14118576,43.59379959,2096772002
lift,-79.05672455,-85.8119812,18.5643425,30.12191963,2096788669
lift,-79.24806976,-86.01538086,14.74071503,15.66980171,2096805336
lift,-79.41444397,-86.07056427,10.79674339,13.11447906,2096822003
lift,-79.53303528,-86.00408936,10.24224949,1.436507463,2096838670
lift,-79.59117126,-85.87403107,5.26484251,-8.673629761,2096855337
lift,-79.60528564,-85.70933533,-3.027796268,-13.14100742,2096872004
lift,-79.59817505,-85.53647614,-6.092819691,-12.71581841,2096888671
lift,-79.54177856,-85.36980438,-4.598714828,-11.88720798,2096905338
lift,-79.41983795,-85.29139709,-6.773453236,-3.230274439,2096922005
lift,-79.2864151,-85.2325592,-10.47773457,2.963909149,2096938672
